Loaded plugins: fastestmirror, refresh-packagekit, security
Installed Packages
libblkid.x86_64                      2.17.2-12.14.el6          @base/$releasever
libbonobo.x86_64                     2.24.2-5.el6              @base/$releasever
libbonoboui.x86_64                   2.24.2-3.el6              @base/$releasever
libcanberra.x86_64                   0.22-1.el6.centos         @base/$releasever
libcanberra-gtk2.x86_64              0.22-1.el6.centos         @base/$releasever
libcap.x86_64                        2.16-5.5.el6              @base/$releasever
libcap-ng.x86_64                     0.6.4-3.el6_0.1           @base/$releasever
libcdio.x86_64                       0.81-3.1.el6              @base/$releasever
libcom_err.x86_64                    1.41.12-18.el6            @base/$releasever
libconfig.x86_64                     1.3.2-1.1.el6             @base/$releasever
libcroco.x86_64                      0.6.2-5.el6               @base/$releasever
libcurl.x86_64                       7.19.7-37.el6_4           @base/$releasever
libdaemon.x86_64                     0.14-1.el6                @base/$releasever
libdmx.x86_64                        1.1.2-2.el6               @base/$releasever
libdrm.x86_64                        2.4.45-2.el6              @base/$releasever
libdv.x86_64                         1.0.0-8.1.el6             @base/$releasever
libedit.x86_64                       2.11-4.20080712cvs.1.el6  @base/$releasever
liberation-fonts-common.noarch       1.05.1.20090721-5.el6     @base/$releasever
liberation-mono-fonts.noarch         1.05.1.20090721-5.el6     @base/$releasever
liberation-sans-fonts.noarch         1.05.1.20090721-5.el6     @base/$releasever
liberation-serif-fonts.noarch        1.05.1.20090721-5.el6     @base/$releasever
libertas-usb8388-firmware.noarch     2:5.110.22.p23-3.1.el6    @base/$releasever
libexif.x86_64                       0.6.21-5.el6_3            @base/$releasever
libffi.x86_64                        3.0.5-3.2.el6             @base/$releasever
libfontenc.x86_64                    1.0.5-2.el6               @base/$releasever
libfprint.x86_64                     0.1.0-19.pre2.el6         @base/$releasever
libgail-gnome.x86_64                 1.20.1-4.1.el6.centos     @base/$releasever
libgcc.x86_64                        4.4.7-4.el6               @base/$releasever
libgcrypt.x86_64                     1.4.5-11.el6_4            @base/$releasever
libgdata.x86_64                      0.6.4-2.el6               @base/$releasever
libglade2.x86_64                     2.6.4-3.1.el6             @base/$releasever
libgnome.x86_64                      2.28.0-11.el6             @base/$releasever
libgnomecanvas.x86_64                2.26.0-4.el6              @base/$releasever
libgnomekbd.x86_64                   2.28.2-2.el6              @base/$releasever
libgnomeui.x86_64                    2.24.1-4.el6              @base/$releasever
libgpg-error.x86_64                  1.7-4.el6                 @base/$releasever
libgphoto2.x86_64                    2.4.7-4.el6               @base/$releasever
libgsf.x86_64                        1.14.15-5.el6             @base/$releasever
libgtop2.x86_64                      2.28.0-3.el6              @base/$releasever
libgudev1.x86_64                     147-2.51.el6              @base/$releasever
libgweather.x86_64                   2.28.0-5.el6              @base/$releasever
libhbaapi.x86_64                     2.2.9-1.el6               @base/$releasever
libhbalinux.x86_64                   1.0.16-1.el6              @base/$releasever
libical.x86_64                       0.43-6.el6                @base/$releasever
libidn.x86_64                        1.18-2.el6                @base/$releasever
libiec61883.x86_64                   1.2.0-4.el6               @base/$releasever
libiptcdata.x86_64                   1.0.4-2.1.el6             @base/$releasever
libjpeg-turbo.x86_64                 1.2.1-1.el6               @base/$releasever
libmcpp.x86_64                       2.7.2-4.1.el6             @base/$releasever
libnih.x86_64                        1.0.1-7.el6               @base/$releasever
libnl.x86_64                         1.1.4-2.el6               @base/$releasever
libnotify.x86_64                     0.5.0-1.el6               @base/$releasever
libogg.x86_64                        2:1.1.4-2.1.el6           @base/$releasever
liboil.x86_64                        0.3.16-4.1.el6            @base/$releasever
libopenraw.x86_64                    0.0.5-4.1.el6             @base/$releasever
libopenraw-gnome.x86_64              0.0.5-4.1.el6             @base/$releasever
libpcap.x86_64                       14:1.4.0-1.20130826git2dbcaa1.el6
                                                               @base/$releasever
libpciaccess.x86_64                  0.13.1-2.el6              @base/$releasever
libpng.x86_64                        2:1.2.49-1.el6_2          @base/$releasever
libproxy.x86_64                      0.3.0-4.el6_3             @base/$releasever
libproxy-bin.x86_64                  0.3.0-4.el6_3             @base/$releasever
libproxy-python.x86_64               0.3.0-4.el6_3             @base/$releasever
libraw1394.x86_64                    2.0.4-1.el6               @base/$releasever
libreport.x86_64                     2.0.9-19.el6.centos       @base/$releasever
libreport-compat.x86_64              2.0.9-19.el6.centos       @base/$releasever
libreport-gtk.x86_64                 2.0.9-19.el6.centos       @base/$releasever
libreport-newt.x86_64                2.0.9-19.el6.centos       @base/$releasever
libreport-plugin-reportuploader.x86_64
                                     2.0.9-19.el6.centos       @base/$releasever
libreport-plugin-rhtsupport.x86_64   2.0.9-19.el6.centos       @base/$releasever
libreport-python.x86_64              2.0.9-19.el6.centos       @base/$releasever
librsvg2.x86_64                      2.26.0-5.el6_1.1.0.1.centos
                                                               @base/$releasever
libsamplerate.x86_64                 0.1.7-2.1.el6             @base/$releasever
libselinux.x86_64                    2.0.94-5.3.el6_4.1        @base/$releasever
libselinux-python.x86_64             2.0.94-5.3.el6_4.1        @base/$releasever
libselinux-utils.x86_64              2.0.94-5.3.el6_4.1        @base/$releasever
libsemanage.x86_64                   2.0.43-4.2.el6            @base/$releasever
libsepol.x86_64                      2.0.41-4.el6              @base/$releasever
libshout.x86_64                      2.2.2-5.1.el6             @base/$releasever
libsmbclient.x86_64                  3.6.9-164.el6             @base/$releasever
libsndfile.x86_64                    1.0.20-5.el6              @base/$releasever
libsoup.x86_64                       2.28.2-4.el6              @base/$releasever
libspectre.x86_64                    0.2.4-1.el6               @base/$releasever
libss.x86_64                         1.41.12-18.el6            @base/$releasever
libssh2.x86_64                       1.4.2-1.el6               @base/$releasever
libstdc++.x86_64                     4.4.7-4.el6               @base/$releasever
libtalloc.x86_64                     2.0.7-2.el6               @base/$releasever
libtar.x86_64                        1.2.11-17.el6_4.1         @base/$releasever
libtasn1.x86_64                      2.3-3.el6_2.1             @base/$releasever
libtdb.x86_64                        1.2.10-1.el6              @base/$releasever
libtevent.x86_64                     0.9.18-3.el6              @base/$releasever
libthai.x86_64                       0.1.12-3.el6              @base/$releasever
libtheora.x86_64                     1:1.1.0-2.el6             @base/$releasever
libtiff.x86_64                       3.9.4-9.el6_3             @base/$releasever
libtool-ltdl.x86_64                  2.2.6-15.5.el6            @base/$releasever
libudev.x86_64                       147-2.51.el6              @base/$releasever
libusb.x86_64                        0.1.12-23.el6             @base/$releasever
libusb1.x86_64                       1.0.9-0.6.rc1.el6         @base/$releasever
libuser.x86_64                       0.56.13-5.el6             @base/$releasever
libuser-python.x86_64                0.56.13-5.el6             @base/$releasever
libutempter.x86_64                   1.1.5-4.1.el6             @base/$releasever
libuuid.x86_64                       2.17.2-12.14.el6          @base/$releasever
libv4l.x86_64                        0.6.3-2.el6               @base/$releasever
